Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,2,2,12
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,3,1,16
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,3,2,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,4,1,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,4,2,15
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,5,1,20
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,5,2,12
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,6,1,15
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,6,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,7,1,22
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,7,2,9
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,8,1,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,8,2,13
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,9,1,13
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,9,2,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,10,1,21
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,10,2,15
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,11,1,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,11,2,20
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,12,1,14
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,12,2,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,13,1,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,13,2,17
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,14,1,26
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,14,2,23
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,15,1,18
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,15,2,12
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,16,1,13
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,unhardened,16,2,15
